,LSRCa, LSRCb, LSRCc, L650a, L650b, L650c, LREGa, LREGb, LREGc, L633a, L633b, L633c, L634a, L634b, L634c, L671a, L671b, L671c, L645b, L645c, L646b, L646c, L692a, L692b, L692c, L675a, L675b, L675c, L611c, L652a, L670a, L670b, L670c, L632a, L632b, L632c, L680a, L680b, L680c, L684a, L684c
2017-01-01 01:00:00.000,0,0,0,0,0,0,0,0,0,1.67275,8.482682617,2.334850098,4.445265625,3.130395263671875,6.66679834,0.9585999755859376,2.531300048828125,3.0235,1.7600999755859374,1.994290039,9.95815332,6.00577832,0,0,0,14.92690332,5.343160156,1.3085,13.5015293,4.281700195,1.285100098,1.498100098,0.690300049,13.44875,10.71071582,17.76233008,15.74775684,9.622745117,14.49396094,1.0274000244140624,0.5508900756835937
2017-01-01 02:00:00.000,0,0,0,0,0,0,0,0,0,1.677679931640625,8.485679688,2.331459961,4.39034668,3.137144287109375,6.663052246,0.957800049,2.526100098,3.021400391,1.7629000244140625,1.9938900146484373,9.952051758,5.979818359,0,0,0,15.04808105,5.456590332,1.312899902,13.42290039,4.273909668,1.2935999755859375,1.4969000244140624,0.6887999877929688,14.52688965,10.69754102,17.76225781,15.76421191,9.63459375,14.47829004,1.026099853515625,0.5519199829101562
2017-01-01 03:00:00.005,0,0,0,0,0,0,0,0,0,1.6843399658203124,8.4625,2.332360107421875,4.36929248,3.134873779296875,6.666346191,0.9573999633789062,2.527900146484375,3.019200195,1.770600098,1.9938199462890625,9.951025391,5.958791992,0,0,0,15.05808008,5.445750488,1.3085,13.42204004,4.269439941,1.2955999755859375,1.4982000732421874,0.6887999877929688,13.3427207,10.70855469,17.7634668,15.76887988,9.63377832,14.49346289,1.026599853515625,0.5541700439453126
2017-01-01 04:00:00.010,0,0,0,0,0,0,0,0,0,1.679919922,8.439100586,2.328899902,4.357288574,3.132953857421875,6.602719727,0.9605999755859376,2.526099853515625,3.020499755859375,1.7665999755859374,1.990939941,9.989576172,5.973902344,0,0,0,15.16975977,5.497970215,1.309199951171875,13.4252793,4.289169922,1.2947999267578123,1.497,0.689,13.29430957,10.7054707,17.73337305,16.1524502,9.629861328,14.5006123,1.029199951171875,0.5548599853515624
2017-01-01 05:00:00.015,0,0,0,0,0,0,0,0,0,1.677820068359375,8.325720703,2.333139892578125,4.343413086,3.134567383,6.593333984,0.9602000122070312,2.538899902,3.018100098,1.766199951171875,1.995260009765625,10.00366602,5.953005859,0,0,0,15.16295996,5.500720215,1.309800048828125,13.39061035,4.288669922,1.2952999267578125,1.497699951171875,0.6895,13.2726709,10.69723828,17.73532031,16.45844727,9.620288086,14.49555176,1.0325,0.5515499877929687
2017-01-01 06:00:00.020,0,0,0,0,0,0,0,0,0,1.676219970703125,8.329219727,2.331419677734375,4.343401855,3.136214355,6.596275879,0.9570999755859376,2.602899902,3.018099853515625,1.765600098,1.991149902,10.01105664,5.960612305,0,0,0,15.14675977,5.50047998,1.3925,13.34032031,4.27572998,1.2795,1.498,0.6885,13.30153027,10.66456348,17.72683984,15.64804004,9.621138672,14.49103516,1.027,0.5531300048828125
2017-01-01 07:00:00.025,0,0,0,0,0,0,0,0,0,1.685989990234375,8.357400391,2.330619873046875,4.356255859,3.162198974609375,6.602698242,0.9603999633789062,2.603100098,3.021,1.771399902,1.9927999267578125,10.03827832,5.963250488,0,0,0,15.14231934,5.483439941,1.403399902,13.34030078,4.267299805,1.277,1.4964000244140625,0.6895000610351563,13.45529004,10.67223828,17.75160742,15.6081875,9.619743164,14.4630332,1.019300048828125,0.5555999755859375
2017-01-01 08:00:00.030,0,0,0,0,0,0,0,0,0,1.691239990234375,8.353040039,2.330680176,4.358291504,3.153203857421875,6.592210449,0.9582000122070312,2.601,3.020100098,1.951,1.9932100830078123,10.00059766,5.953526855,0,0,0,15.14375879,5.473290039,1.405899902,13.32197949,4.26052002,1.276699951171875,1.4969000244140624,0.6895,14.38289063,10.66543555,17.78827344,15.68027051,9.630943359,14.48808105,1.021800048828125,0.5567999877929688
2017-01-01 09:00:00.035,0,0,0,0,0,0,0,0,0,1.681899902,8.330099609,2.328600098,4.371319824,3.15213916,6.549842773,0.9597999877929688,2.600399902,3.019699951171875,2.0412000732421878,1.99297998,9.999361328,5.961350586,0,0,0,15.15298047,5.469900391,1.4010999755859377,13.33124023,4.266780273,1.2684000244140623,1.4969998779296876,0.6888999633789062,13.33865918,10.68506348,17.76414063,15.65400098,9.636952148,14.85478418,1.0295999755859375,0.5537699584960938
2017-01-01 10:00:00.040,0,0,0,0,0,0,0,0,0,1.6812200927734375,8.334259766,2.331200195,4.353878906,3.157076904296875,6.527083984,0.9602000122070312,2.602,3.018699951171875,2.0399998779296875,1.991890137,10.01173438,5.960980469,0,0,0,15.14649902,5.331129395,1.4059000244140625,13.34250977,4.258370117,1.2669000244140625,1.4975,0.6897000122070313,13.26237012,10.6995,17.7653125,15.61559473,9.641743164,15.1323457,1.033399902,0.552969971
