,LSRCa," LSRCb"," LSRCc"," L650a"," L650b"," L650c"," LREGa"," LREGb"," LREGc"," L633a"," L633b"," L633c"," L634a"," L634b"," L634c"," L671a"," L671b"," L671c"," L645b"," L645c"," L646b"," L646c"," L692a"," L692b"," L692c"," L675a"," L675b"," L675c"," L611c"," L652a"," L670a"," L670b"," L670c"," L632a"," L632b"," L632c"," L680a"," L680b"," L680c"," L684a"," L684c"
2017-01-01 01:00:00.000,0,0,0,0,0,0,0,0,0,1672.75,8482.682617,2334.850098,4445.265625,3130.395264,6666.79834,958.5999756,2531.300049,3023.5,1760.099976,1994.290039,9958.15332,6005.77832,0,0,0,14926.90332,5343.160156,1308.5,13501.5293,4281.700195,1285.100098,1498.100098,690.3000488,13448.75,10710.71582,17762.33008,15747.75684,9622.745117,14493.96094,1027.400024,550.8900757
2017-01-01 02:00:00.000,0,0,0,0,0,0,0,0,0,1677.679932,8485.679688,2331.459961,4390.34668,3137.144287,6663.052246,957.8000488,2526.100098,3021.400391,1762.900024,1993.890015,9952.051758,5979.818359,0,0,0,15048.08105,5456.590332,1312.899902,13422.90039,4273.909668,1293.599976,1496.900024,688.7999878,14526.88965,10697.54102,17762.25781,15764.21191,9634.59375,14478.29004,1026.099854,551.9199829
2017-01-01 03:00:00.005,0,0,0,0,0,0,0,0,0,1684.339966,8462.5,2332.360107,4369.29248,3134.873779,6666.346191,957.3999634,2527.900146,3019.200195,1770.600098,1993.819946,9951.025391,5958.791992,0,0,0,15058.08008,5445.750488,1308.5,13422.04004,4269.439941,1295.599976,1498.200073,688.7999878,13342.7207,10708.55469,17763.4668,15768.87988,9633.77832,14493.46289,1026.599854,554.1700439
2017-01-01 04:00:00.010,0,0,0,0,0,0,0,0,0,1679.919922,8439.100586,2328.899902,4357.288574,3132.953857,6602.719727,960.5999756,2526.099854,3020.499756,1766.599976,1990.939941,9989.576172,5973.902344,0,0,0,15169.75977,5497.970215,1309.199951,13425.2793,4289.169922,1294.799927,1497,689,13294.30957,10705.4707,17733.37305,16152.4502,9629.861328,14500.6123,1029.199951,554.8599854
2017-01-01 05:00:00.015,0,0,0,0,0,0,0,0,0,1677.820068,8325.720703,2333.139893,4343.413086,3134.567383,6593.333984,960.2000122,2538.899902,3018.100098,1766.199951,1995.26001,10003.66602,5953.005859,0,0,0,15162.95996,5500.720215,1309.800049,13390.61035,4288.669922,1295.299927,1497.699951,689.5,13272.6709,10697.23828,17735.32031,16458.44727,9620.288086,14495.55176,1032.5,551.5499878
2017-01-01 06:00:00.020,0,0,0,0,0,0,0,0,0,1676.219971,8329.219727,2331.419678,4343.401855,3136.214355,6596.275879,957.0999756,2602.899902,3018.099854,1765.600098,1991.149902,10011.05664,5960.612305,0,0,0,15146.75977,5500.47998,1392.5,13340.32031,4275.72998,1279.5,1498,688.5,13301.53027,10664.56348,17726.83984,15648.04004,9621.138672,14491.03516,1027,553.1300049
2017-01-01 07:00:00.025,0,0,0,0,0,0,0,0,0,1685.98999,8357.400391,2330.619873,4356.255859,3162.198975,6602.698242,960.3999634,2603.100098,3021,1771.399902,1992.799927,10038.27832,5963.250488,0,0,0,15142.31934,5483.439941,1403.399902,13340.30078,4267.299805,1277,1496.400024,689.500061,13455.29004,10672.23828,17751.60742,15608.1875,9619.743164,14463.0332,1019.300049,555.5999756
2017-01-01 08:00:00.030,0,0,0,0,0,0,0,0,0,1691.23999,8353.040039,2330.680176,4358.291504,3153.203857,6592.210449,958.2000122,2601,3020.100098,1951,1993.210083,10000.59766,5953.526855,0,0,0,15143.75879,5473.290039,1405.899902,13321.97949,4260.52002,1276.699951,1496.900024,689.5,14382.89063,10665.43555,17788.27344,15680.27051,9630.943359,14488.08105,1021.800049,556.7999878
2017-01-01 09:00:00.035,0,0,0,0,0,0,0,0,0,1681.899902,8330.099609,2328.600098,4371.319824,3152.13916,6549.842773,959.7999878,2600.399902,3019.699951,2041.200073,1992.97998,9999.361328,5961.350586,0,0,0,15152.98047,5469.900391,1401.099976,13331.24023,4266.780273,1268.400024,1496.999878,688.8999634,13338.65918,10685.06348,17764.14063,15654.00098,9636.952148,14854.78418,1029.599976,553.7699585
2017-01-01 10:00:00.040,0,0,0,0,0,0,0,0,0,1681.220093,8334.259766,2331.200195,4353.878906,3157.076904,6527.083984,960.2000122,2602,3018.699951,2039.999878,1991.890137,10011.73438,5960.980469,0,0,0,15146.49902,5331.129395,1405.900024,13342.50977,4258.370117,1266.900024,1497.5,689.7000122,13262.37012,10699.5,17765.3125,15615.59473,9641.743164,15132.3457,1033.399902,552.9699707
2017-01-01 11:00:00.045,0,0,0,0,0,0,0,0,0,1679.350098,8335.439453,2329.059814,4391.472656,3167.689453,6524.993652,959.9000244,2603.199951,3022.999756,2042.800049,1991.569946,10031.73047,5959.013672,0,0,0,15104.50586,5276.209961,1406.400024,13319.87012,4255.259766,1268.900024,1497.400024,688.2999878,13306.85059,10684.62793,17771.40625,15681.28223,9640.219727,14629.41895,1024.099976,555.5700073
2017-01-01 12:00:00.050,0,0,0,0,0,0,0,0,0,1682.029907,8325.900391,2328.259766,4545.864258,3173.056396,6525.072266,960.7999878,2603.100098,3014.300049,2051.099854,1994.349976,10038.3584,5958.919922,0,0,0,14998.98047,5235.299316,1402.900024,13313.29883,4259.939941,1265.700073,1496.799927,689.2000122,13245.09961,10669.97559,17753.85547,15692.44922,9643.333984,14640.80469,1019.199951,556.249939
2017-01-01 13:00:00.055,0,0,0,0,0,0,0,0,0,1683.309937,8298.599609,2329.960205,4654.808105,3173.30249,6532.112305,971.5,2603.600098,3009,2048.600098,1990.769897,9999.706055,5955.282715,0,0,0,14893.24023,5193.799805,1403.399902,13310.78027,4258.469727,1268.800049,1497.299927,689,13420.35938,10650.11035,17735.93945,15764.1416,9654.074219,14646.87598,1021.499878,555.0600586
2017-01-01 14:00:00.060,0,0,0,0,0,0,0,0,0,1680.219971,8280.94043,2323.120117,4667.846191,3169.265381,6528.112305,975.5999756,2603.800049,3014.400146,2035.100098,1996.519897,9965.604492,5970.13623,0,0,0,14873.45898,5186.339844,1406.400024,13318.4707,4269.290039,1266.699951,1496.099976,688,14395.87988,10679.12793,17727.76563,15717.89746,9635.392578,14669.00977,1028.999878,552.9100342
2017-01-01 15:00:00.065,0,0,0,0,0,0,0,0,0,1678.940063,8301.234375,2283.494873,4655.906738,3167.145752,6529.498535,964.0999756,2594.199951,3019.400146,2033.700073,1995.209839,9927.267578,5946.016113,0,0,0,14871.74023,5201.120117,1404.599976,13322.04883,4264.02002,1257.800171,1495.900024,688.5,13251.98047,10682.41016,17737.0332,15719.91797,9623.989258,14636.36328,1025,552.5699463
2017-01-01 16:00:00.070,0,0,0,0,0,0,0,0,0,1680.179932,8258.140625,2284.099854,4671.09375,3176.11084,6530.100586,960.6000366,2529.899902,3014.899902,2035.100098,1994.479858,9919.612305,5954.178223,0,0,0,14873.97852,5200.569824,1401.800049,13322.07031,4259.169922,1258.900146,1496.399902,687.6999512,13242.22949,10671.23438,17771.44336,15730.21387,9622.100586,14599.81836,1021,556.710022
2017-01-01 17:00:00.075,0,0,0,0,0,0,0,0,0,1683.170044,8247.299805,2282.799805,4616.066895,3175.098877,6520.508301,960,2529.5,3015.400146,2040.300049,1992.359985,9919.537109,5958.468262,0,0,0,14869.03906,5196.070313,1401.300049,13315.23926,4264.919922,1273.900024,1495.599854,688.5999756,13247.85059,10679.24121,17755.58398,15745.16797,9639.331055,14565.34668,1025.199951,557.9299927
2017-01-01 18:00:00.080,0,0,0,0,0,0,0,0,0,1681.530029,8219.020508,2283.400146,4628.278809,3174.338135,6527.513672,969.2000122,2529.5,3012.600098,2035.60022,1989.539917,9923.71582,5965.376953,0,0,0,14885.60156,5185.94043,1405.899902,13345.12012,4266.029785,1271.699829,1495.700073,687.9000244,13220.41992,10662.74902,17731.96875,15742.41895,9638.037109,14570.17773,1026.299927,555.4000244
