,LSRCa, LSRCb, LSRCc, L650a, L650b, L650c, LREGa, LREGb, LREGc, L633a, L633b, L633c, L634a, L634b, L634c, L671a, L671b, L671c, L645b, L645c, L646b, L646c, L692a, L692b, L692c, L675a, L675b, L675c, L611c, L652a, L670a, L670b, L670c, L632a, L632b, L632c, L680a, L680b, L680c, L684a, L684c
2017-01-01 01:00:00.000,0,0,0,0,0,0,0,0,0,-0.455590973,-0.227977371,1.062294922,0.3914959106445312,0.8578915405273437,1.1379366455078126,0.9677799682617187,2.113229004,2.306400146484375,0.4233299865722656,0.3502059936523437,1.6901473388671877,1.816669677734375,0,0,0,-0.32750882,-0.172304977,0.2269189758300781,1.316200195,1.6982860107421875,0.7393999633789062,0.9722000122070312,0.594656006,1.0199349365234376,0.2522238464355468,-0.683166443,4.702340332,2.419994873046875,-1.550740112,-0.412730042,-0.088580002
2017-01-01 02:00:00.000,0,0,0,0,0,0,0,0,0,-0.450890991,-0.228903,1.0655059814453125,0.4010849304199219,0.8603108520507813,1.137793945,0.9654600219726562,2.112375977,2.307640137,0.42325,0.3506360168457031,1.690432373046875,1.8044573974609373,0,0,0,-0.344178406,-0.181656006,0.2281680145263671,1.331209961,1.702079102,0.7417499389648438,0.9720999755859376,0.5944520263671875,0.983345947,0.2466941833496093,-0.680286316,4.69077002,2.41514502,-1.548822388,-0.411769989,-0.089720009
2017-01-01 03:00:00.005,0,0,0,0,0,0,0,0,0,-0.454382019,-0.23196402,1.065788086,0.404199219,0.858984619,1.136313965,0.966469971,2.112612060546875,2.300879883,0.4256600036621094,0.3512030029296875,1.6893438720703124,1.8072821044921876,0,0,0,-0.339353271,-0.179348969,0.2288259887695312,1.3269600830078123,1.702699951171875,0.7404300537109375,0.9720999755859376,0.594041992,0.8440068969726563,0.2577611999511718,-0.694706787,4.702692383,2.424751953,-1.549038452,-0.411070007,-0.0895
2017-01-01 04:00:00.010,0,0,0,0,0,0,0,0,0,-0.454174011,-0.233401001,1.0660640869140623,0.4001161499023437,0.860520996,1.0472779541015624,0.9662899780273436,2.112230957,2.300440185546875,0.4260899963378906,0.3601229858398437,1.681580322265625,1.808438477,0,0,0,-0.140282471,-0.079727013,0.2298349914550781,1.325189941,1.708046875,0.7400399780273438,0.971699951,0.5940349731445312,0.8467039794921875,0.2445479736328125,-0.702897217,4.813255371,2.420808105,-1.550625732,-0.411380005,-0.089379997
2017-01-01 05:00:00.015,0,0,0,0,0,0,0,0,0,-0.45459201,-0.230406998,1.064994141,0.3983990478515625,0.8603045654296875,1.0352559814453124,0.9696500244140625,2.108209961,2.298439941,0.42526001,0.3679389953613281,1.674691406,1.8136639404296877,0,0,0,-0.103449615,-0.06040704,0.2279800109863281,1.264380126953125,1.702439941,0.7413800048828125,0.9720999755859376,0.5939620361328125,0.8461079711914062,0.2500523376464844,-0.701647217,4.923918945,2.421233154296875,-1.552674316,-0.412049988,-0.089300003
2017-01-01 06:00:00.020,0,0,0,0,0,0,0,0,0,-0.455086975,-0.230496948,1.063984130859375,0.403958496,0.8584825439453125,1.0336080322265624,0.96973999,2.113619873046875,2.294669922,0.4260900268554687,0.3681950378417968,1.6806419677734374,1.8125474853515624,0,0,0,-0.102934021,-0.059321987,0.2248390197753906,1.198129883,1.7003580322265626,0.7476701049804687,0.9730999755859376,0.594543945,0.861671875,0.2472108459472656,-0.6990578,4.727113281,2.423283935546875,-1.549580322,-0.410959991,-0.089720001
2017-01-01 07:00:00.025,0,0,0,0,0,0,0,0,0,-0.453951965,-0.22692598,1.065736083984375,0.4053480834960937,0.87892749,1.0421859130859374,0.9674100341796876,2.11763916,2.30075,0.4251399841308593,0.3682059936523437,1.669195801,1.810710205078125,0,0,0,-0.100539978,-0.060169022,0.222822998,1.198919922,1.7098809814453124,0.7489099731445312,0.9722999877929688,0.5945999755859375,0.863218018,0.2590126342773437,-0.692515076,4.738870117,2.426243652,-1.5525625,-0.411679993,-0.089480003
2017-01-01 08:00:00.030,0,0,0,0,0,0,0,0,0,-0.455244995,-0.224384003,1.0635560302734377,0.397441162,0.8782473754882812,1.039332031,0.969040039,2.111869141,2.300650146484375,0.4157999877929687,0.3672340087890625,1.679350586,1.811777344,0,0,0,-0.099044617,-0.06030497,0.2226030120849609,1.199149902,1.702448974609375,0.7482999877929688,0.972,0.5957130126953125,0.870828857,0.2518965759277344,-0.679117737,4.744912598,2.426061767578125,-1.550886353,-0.412390015,-0.089119995
2017-01-01 09:00:00.035,0,0,0,0,0,0,0,0,0,-0.455673035,-0.226066025,1.0647979736328126,0.3990986938476562,0.877059326,0.9792540283203124,0.9688099975585938,2.107493164,2.296100098,0.4118299865722656,0.3678639831542968,1.683331298828125,1.8131905517578124,0,0,0,-0.098001221,-0.060618988,0.222677002,1.197530029296875,1.7051920166015626,0.7463399658203125,0.9727999877929688,0.595040039,0.8597689208984375,0.2525235900878906,-0.682723511,4.738176758,2.428058105,-1.408285034,-0.412529968,-0.08925
2017-01-01 10:00:00.040,0,0,0,0,0,0,0,0,0,-0.455234009,-0.225008026,1.0653441162109376,0.4000968933105469,0.8775471801757813,0.9592100219726564,0.969060059,2.110093994140625,2.298590087890625,0.4100199890136718,0.3670929870605469,1.6846988525390625,1.814945801,0,0,0,-0.097399445,-0.044517014,0.2234769897460937,1.1984500732421874,1.7030970458984376,0.745959961,0.9737999877929688,0.595385986,0.8561630249023438,0.2612586669921875,-0.689212769,4.738723633,2.434703857421875,-1.270773804,-0.413420013,-0.089519989
2017-01-01 11:00:00.045,0,0,0,0,0,0,0,0,0,-0.454833984,-0.232043976,1.065176025390625,0.3968579711914062,0.8768607177734375,0.958197998,0.9702000732421876,2.113859130859375,2.304280029296875,0.4109299926757812,0.3670540161132812,1.687293212890625,1.8128394775390624,0,0,0,-0.224273499,-0.110114021,0.2232840270996093,1.1922200927734374,1.707225098,0.74498999,0.972800049,0.5955120849609375,0.8688338623046875,0.250837402,-0.688780579,4.740758789,2.435094970703125,-1.398603394,-0.412109955,-0.089049995
2017-01-01 12:00:00.050,0,0,0,0,0,0,0,0,0,-0.458429993,-0.232414978,1.065011962890625,0.4002073669433594,0.8767225341796875,0.9578400268554688,0.9699500122070313,2.113742919921875,2.297929931640625,0.4113200073242187,0.3661380310058594,1.6775792236328124,1.8130992431640625,0,0,0,-0.33579187,-0.173223007,0.2233290100097656,1.193169922,1.708156982421875,0.7465299682617188,0.9735,0.5950069580078124,0.8783800048828125,0.263782471,-0.683822327,4.739786133,2.437671630859375,-1.397031616,-0.410490021,-0.089239998
