,LSRCa," LSRCb"," LSRCc"," L650a"," L650b"," L650c"," LREGa"," LREGb"," LREGc"," L633a"," L633b"," L633c"," L634a"," L634b"," L634c"," L671a"," L671b"," L671c"," L645b"," L645c"," L646b"," L646c"," L692a"," L692b"," L692c"," L675a"," L675b"," L675c"," L611c"," L652a"," L670a"," L670b"," L670c"," L632a"," L632b"," L632c"," L680a"," L680b"," L680c"," L684a"," L684c"
2017-01-01 01:00:00.000,0,0,0,0,0,0,0,0,0,-455.5909729,-227.9773712,1062.294922,391.4959106,857.8915405,1137.936646,967.7799683,2113.229004,2306.400146,423.3299866,350.2059937,1690.147339,1816.669678,0,0,0,-327.5088196,-172.3049774,226.9189758,1316.200195,1698.286011,739.3999634,972.2000122,594.6560059,1019.934937,252.2238464,-683.1664429,4702.340332,2419.994873,-1550.740112,-412.7300415,-88.58000183
2017-01-01 02:00:00.000,0,0,0,0,0,0,0,0,0,-450.8909912,-228.9029999,1065.505981,401.0849304,860.3108521,1137.793945,965.460022,2112.375977,2307.640137,423.25,350.6360168,1690.432373,1804.457397,0,0,0,-344.1784058,-181.6560059,228.1680145,1331.209961,1702.079102,741.749939,972.0999756,594.4520264,983.3459473,246.6941833,-680.2863159,4690.77002,2415.14502,-1548.822388,-411.769989,-89.72000885
2017-01-01 03:00:00.005,0,0,0,0,0,0,0,0,0,-454.382019,-231.9640198,1065.788086,404.1992188,858.9846191,1136.313965,966.4699707,2112.612061,2300.879883,425.6600037,351.2030029,1689.343872,1807.282104,0,0,0,-339.3532715,-179.3489685,228.8259888,1326.960083,1702.699951,740.4300537,972.0999756,594.0419922,844.006897,257.7612,-694.7067871,4702.692383,2424.751953,-1549.038452,-411.0700073,-89.5
2017-01-01 04:00:00.010,0,0,0,0,0,0,0,0,0,-454.1740112,-233.401001,1066.064087,400.1161499,860.5209961,1047.277954,966.289978,2112.230957,2300.440186,426.0899963,360.1229858,1681.580322,1808.438477,0,0,0,-140.2824707,-79.72701263,229.8349915,1325.189941,1708.046875,740.039978,971.6999512,594.0349731,846.7039795,244.5479736,-702.8972168,4813.255371,2420.808105,-1550.625732,-411.3800049,-89.37999725
2017-01-01 05:00:00.015,0,0,0,0,0,0,0,0,0,-454.5920105,-230.4069977,1064.994141,398.3990479,860.3045654,1035.255981,969.6500244,2108.209961,2298.439941,425.2600098,367.9389954,1674.691406,1813.66394,0,0,0,-103.4496155,-60.40703964,227.980011,1264.380127,1702.439941,741.3800049,972.0999756,593.9620361,846.1079712,250.0523376,-701.6472168,4923.918945,2421.233154,-1552.674316,-412.0499878,-89.30000305
2017-01-01 06:00:00.020,0,0,0,0,0,0,0,0,0,-455.0869751,-230.4969482,1063.984131,403.9584961,858.4825439,1033.608032,969.7399902,2113.619873,2294.669922,426.0900269,368.1950378,1680.641968,1812.547485,0,0,0,-102.934021,-59.32198715,224.8390198,1198.129883,1700.358032,747.670105,973.0999756,594.5439453,861.671875,247.2108459,-699.0578003,4727.113281,2423.283936,-1549.580322,-410.9599915,-89.72000122
2017-01-01 07:00:00.025,0,0,0,0,0,0,0,0,0,-453.9519653,-226.9259796,1065.736084,405.3480835,878.9274902,1042.185913,967.4100342,2117.63916,2300.75,425.1399841,368.2059937,1669.195801,1810.710205,0,0,0,-100.539978,-60.16902161,222.822998,1198.919922,1709.880981,748.9099731,972.2999878,594.5999756,863.2180176,259.0126343,-692.5150757,4738.870117,2426.243652,-1552.5625,-411.6799927,-89.48000336
2017-01-01 08:00:00.030,0,0,0,0,0,0,0,0,0,-455.2449951,-224.3840027,1063.55603,397.4411621,878.2473755,1039.332031,969.0400391,2111.869141,2300.650146,415.7999878,367.2340088,1679.350586,1811.777344,0,0,0,-99.0446167,-60.30496979,222.6030121,1199.149902,1702.448975,748.2999878,972,595.7130127,870.8288574,251.8965759,-679.1177368,4744.912598,2426.061768,-1550.886353,-412.3900146,-89.11999512
2017-01-01 09:00:00.035,0,0,0,0,0,0,0,0,0,-455.6730347,-226.0660248,1064.797974,399.0986938,877.0593262,979.2540283,968.8099976,2107.493164,2296.100098,411.8299866,367.8639832,1683.331299,1813.190552,0,0,0,-98.0012207,-60.61898804,222.677002,1197.530029,1705.192017,746.3399658,972.7999878,595.0400391,859.7689209,252.5235901,-682.7235107,4738.176758,2428.058105,-1408.285034,-412.5299683,-89.25
2017-01-01 10:00:00.040,0,0,0,0,0,0,0,0,0,-455.2340088,-225.0080261,1065.344116,400.0968933,877.5471802,959.210022,969.0600586,2110.093994,2298.590088,410.019989,367.0929871,1684.698853,1814.945801,0,0,0,-97.39944458,-44.51701355,223.4769897,1198.450073,1703.097046,745.9599609,973.7999878,595.3859863,856.1630249,261.258667,-689.2127686,4738.723633,2434.703857,-1270.773804,-413.4200134,-89.51998901
