,LSRCa, LSRCb, LSRCc, L650a, L650b, L650c, LREGa, LREGb, LREGc, L633a, L633b, L633c, L634a, L634b, L634c, L671a, L671b, L671c, L645b, L645c, L646b, L646c, L692a, L692b, L692c, L675a, L675b, L675c, L611c, L652a, L670a, L670b, L670c, L632a, L632b, L632c, L680a, L680b, L680c, L684a, L684c
00:00.0,0,0,0,0,0,0,0,0,0,-0.455590973,-0.227977371,1.062294922,0.391495911,0.857891541,1.137936646,0.967779968,2.113229004,2.306400146,0.423329987,0.350205994,1.690147339,1.816669678,0,0,0,-0.32750882,-0.172304977,0.226918976,1.316200195,1.698286011,0.739399963,0.972200012,0.594656006,1.019934937,0.252223846,-0.683166443,4.702340332,2.419994873,-1.550740112,-0.412730042,-0.088580002
00:00.0,0,0,0,0,0,0,0,0,0,-0.450890991,-0.228903,1.065505981,0.40108493,0.860310852,1.137793945,0.965460022,2.112375977,2.307640137,0.42325,0.350636017,1.690432373,1.804457397,0,0,0,-0.344178406,-0.181656006,0.228168015,1.331209961,1.702079102,0.741749939,0.972099976,0.594452026,0.983345947,0.246694183,-0.680286316,4.69077002,2.41514502,-1.548822388,-0.411769989,-0.089720009
00:00.0,0,0,0,0,0,0,0,0,0,-0.454382019,-0.23196402,1.065788086,0.404199219,0.858984619,1.136313965,0.966469971,2.112612061,2.300879883,0.425660004,0.351203003,1.689343872,1.807282104,0,0,0,-0.339353271,-0.179348969,0.228825989,1.326960083,1.702699951,0.740430054,0.972099976,0.594041992,0.844006897,0.2577612,-0.694706787,4.702692383,2.424751953,-1.549038452,-0.411070007,-0.0895
00:00.0,0,0,0,0,0,0,0,0,0,-0.454174011,-0.233401001,1.066064087,0.40011615,0.860520996,1.047277954,0.966289978,2.112230957,2.300440186,0.426089996,0.360122986,1.681580322,1.808438477,0,0,0,-0.140282471,-0.079727013,0.229834991,1.325189941,1.708046875,0.740039978,0.971699951,0.594034973,0.846703979,0.244547974,-0.702897217,4.813255371,2.420808105,-1.550625732,-0.411380005,-0.089379997
00:00.0,0,0,0,0,0,0,0,0,0,-0.45459201,-0.230406998,1.064994141,0.398399048,0.860304565,1.035255981,0.969650024,2.108209961,2.298439941,0.42526001,0.367938995,1.674691406,1.81366394,0,0,0,-0.103449615,-0.06040704,0.227980011,1.264380127,1.702439941,0.741380005,0.972099976,0.593962036,0.846107971,0.250052338,-0.701647217,4.923918945,2.421233154,-1.552674316,-0.412049988,-0.089300003
00:00.0,0,0,0,0,0,0,0,0,0,-0.455086975,-0.230496948,1.063984131,0.403958496,0.858482544,1.033608032,0.96973999,2.113619873,2.294669922,0.426090027,0.368195038,1.680641968,1.812547485,0,0,0,-0.102934021,-0.059321987,0.22483902,1.198129883,1.700358032,0.747670105,0.973099976,0.594543945,0.861671875,0.247210846,-0.6990578,4.727113281,2.423283936,-1.549580322,-0.410959991,-0.089720001
00:00.0,0,0,0,0,0,0,0,0,0,-0.453951965,-0.22692598,1.065736084,0.405348083,0.87892749,1.042185913,0.967410034,2.11763916,2.30075,0.425139984,0.368205994,1.669195801,1.810710205,0,0,0,-0.100539978,-0.060169022,0.222822998,1.198919922,1.709880981,0.748909973,0.972299988,0.594599976,0.863218018,0.259012634,-0.692515076,4.738870117,2.426243652,-1.5525625,-0.411679993,-0.089480003
00:00.0,0,0,0,0,0,0,0,0,0,-0.455244995,-0.224384003,1.06355603,0.397441162,0.878247375,1.039332031,0.969040039,2.111869141,2.300650146,0.415799988,0.367234009,1.679350586,1.811777344,0,0,0,-0.099044617,-0.06030497,0.222603012,1.199149902,1.702448975,0.748299988,0.972,0.595713013,0.870828857,0.251896576,-0.679117737,4.744912598,2.426061768,-1.550886353,-0.412390015,-0.089119995
00:00.0,0,0,0,0,0,0,0,0,0,-0.455673035,-0.226066025,1.064797974,0.399098694,0.877059326,0.979254028,0.968809998,2.107493164,2.296100098,0.411829987,0.367863983,1.683331299,1.813190552,0,0,0,-0.098001221,-0.060618988,0.222677002,1.197530029,1.705192017,0.746339966,0.972799988,0.595040039,0.859768921,0.25252359,-0.682723511,4.738176758,2.428058105,-1.408285034,-0.412529968,-0.08925
00:00.0,0,0,0,0,0,0,0,0,0,-0.455234009,-0.225008026,1.065344116,0.400096893,0.87754718,0.959210022,0.969060059,2.110093994,2.298590088,0.410019989,0.367092987,1.684698853,1.814945801,0,0,0,-0.097399445,-0.044517014,0.22347699,1.198450073,1.703097046,0.745959961,0.973799988,0.595385986,0.856163025,0.261258667,-0.689212769,4.738723633,2.434703857,-1.270773804,-0.413420013,-0.089519989
00:00.0,0,0,0,0,0,0,0,0,0,-0.454833984,-0.232043976,1.065176025,0.396857971,0.876860718,0.958197998,0.970200073,2.113859131,2.304280029,0.410929993,0.367054016,1.687293213,1.812839478,0,0,0,-0.224273499,-0.110114021,0.223284027,1.192220093,1.707225098,0.74498999,0.972800049,0.595512085,0.868833862,0.250837402,-0.688780579,4.740758789,2.435094971,-1.398603394,-0.412109955,-0.089049995
00:00.0,0,0,0,0,0,0,0,0,0,-0.458429993,-0.232414978,1.065011963,0.400207367,0.876722534,0.957840027,0.969950012,2.11374292,2.297929932,0.411320007,0.366138031,1.677579224,1.813099243,0,0,0,-0.33579187,-0.173223007,0.22332901,1.193169922,1.708156982,0.746529968,0.9735,0.595006958,0.878380005,0.263782471,-0.683822327,4.739786133,2.437671631,-1.397031616,-0.410490021,-0.089239998
00:00.1,0,0,0,0,0,0,0,0,0,-0.456199982,-0.232230026,1.064186035,0.392708557,0.876247803,0.959975952,0.967839966,2.114351807,2.300609863,0.409049988,0.366862,1.675891357,1.81145813,0,0,0,-0.508497375,-0.257519989,0.223278992,1.190700073,1.706677002,0.747359985,0.973199951,0.595128967,0.88302301,0.25170459,-0.690022888,4.730319336,2.437748047,-1.389467773,-0.410420044,-0.089400009
00:00.1,0,0,0,0,0,0,0,0,0,-0.454051025,-0.230469971,1.063638062,0.39635437,0.877210571,0.962393982,0.966649963,2.115300049,2.30827002,0.408800018,0.363863983,1.656738892,1.805282471,0,0,0,-0.579110413,-0.296140991,0.223335007,1.193179932,1.706606934,0.745200012,0.9735,0.594655029,0.886854126,0.256791016,-0.689290833,4.723884277,2.439301025,-1.377395874,-0.410650024,-0.088339996
00:00.1,0,0,0,0,0,0,0,0,0,-0.454729004,-0.221607483,1.064737915,0.399750031,0.876776001,0.962155945,0.972019958,2.116958008,2.312,0.408950012,0.349399994,1.636912109,1.797880615,0,0,0,-0.582435608,-0.294411987,0.223151993,1.191560059,1.70386792,0.74473999,0.973400024,0.59641803,0.878782959,0.255844376,-0.698957642,4.729101074,2.438420166,-1.375724243,-0.40952002,-0.088559998
00:00.1,0,0,0,0,0,0,0,0,0,-0.456237,-0.225673019,1.065380005,0.398516998,0.883248657,0.960401978,0.969039978,2.11337915,2.31323999,0.40925,0.349191986,1.641167114,1.796153687,0,0,0,-0.581673401,-0.293606995,0.222593979,1.191820068,1.70894812,0.744570007,0.973400024,0.594417053,0.886139038,0.25438681,-0.701115906,4.734962402,2.43928125,-1.388709106,-0.410040039,-0.089710007
00:00.1,0,0,0,0,0,0,0,0,0,-0.456221008,-0.225195068,1.064865967,0.401078918,0.885146301,0.963737976,0.96972998,2.115578857,2.31272998,0.408279968,0.349115021,1.639209351,1.79410083,0,0,0,-0.580963623,-0.291579956,0.222058014,1.193880249,1.70848999,0.745999939,0.973599976,0.595644958,0.880001892,0.260142822,-0.713502563,4.725527832,2.438887451,-1.393899902,-0.411339996,-0.089770004
00:00.1,0,0,0,0,0,0,0,0,0,-0.454756989,-0.225672058,1.063850098,0.397918732,0.884686951,0.965716003,0.966940002,2.115081055,2.31175,0.40752002,0.355435028,1.636710815,1.791088379,0,0,0,-0.581897339,-0.291089996,0.222020996,1.202419922,1.706543945,0.745500061,0.972799988,0.596034973,0.893238037,0.245806396,-0.707042908,4.723015625,2.440735107,-1.391930786,-0.41023999,-0.089450005
00:00.1,0,0,0,0,0,0,0,0,0,-0.453546997,-0.228088043,1.064951904,0.401310394,0.819472595,0.967317993,0.965880005,2.115102051,2.31351001,0.40801001,0.366447968,1.633035767,1.796731323,0,0,0,-0.565113831,-0.289787994,0.221510986,1.199680054,1.709479126,0.74598999,0.972200012,0.595195068,0.904570068,0.265983826,-0.696723083,4.725722656,2.445881836,-1.380758789,-0.410890015,-0.089279999
00:00.1,0,0,0,0,0,0,0,0,0,-0.451506989,-0.227159973,1.065799927,0.398285339,0.591783569,0.967078064,0.968340027,2.116764893,2.313939941,0.410070007,0.367745972,1.625174805,1.798310303,0,0,0,-0.557903625,-0.29038501,0.221466003,1.189360107,1.71194397,0.746290039,0.972199951,0.596307007,0.910839966,0.252843338,-0.697144836,4.729334961,2.452807617,-1.38050708,-0.409019989,-0.089329994
00:00.1,0,0,0,0,0,0,0,0,0,-0.453042969,-0.230694946,1.066036133,0.400683014,0.591853638,0.964134033,0.969180054,2.119008057,2.313689941,0.410620026,0.367235962,1.641025635,1.801606567,0,0,0,-0.542428589,-0.291368988,0.222118011,1.187799927,1.71785791,0.746109985,0.972500061,0.597036011,0.915338013,0.257052826,-0.699214905,4.746722168,2.446331299,-1.385727783,-0.408339996,-0.088869995
00:00.1,0,0,0,0,0,0,0,0,0,-0.455547974,-0.227809021,1.064071899,0.40353064,0.591928955,0.968033936,0.967640015,2.12014209,2.318640137,0.397969971,0.274291992,1.635347656,1.600589966,0,0,0,-0.541706665,-0.291080994,0.222203003,1.191910034,1.710715088,0.746580017,0.972800049,0.598059021,0.924440002,0.260357391,-0.671181458,4.747678711,2.431619141,-1.40275293,-0.409429993,-0.089499992
00:00.1,0,0,0,0,0,0,0,0,0,-0.455526001,-0.233388947,1.061226074,0.402846924,0.591731567,0.967682007,0.968180054,2.119831055,2.31726001,0.394200012,0.259105011,1.636340088,1.789137085,0,0,0,-0.540849121,-0.289390991,0.221882996,1.192140015,1.704881958,0.746640015,0.973799988,0.596214966,0.939923828,0.253125641,-0.688734375,4.738532227,2.428946045,-0.971793213,-0.408570038,-0.088860001
00:00.1,0,0,0,0,0,0,0,0,0,-0.454660004,-0.228407043,1.052353882,0.40354715,0.593422363,0.969410034,0.969450012,2.114373047,2.310359863,0.393039978,0.25919397,1.647884766,1.878265259,0,0,0,-0.541850769,-0.289837982,0.223451996,1.19848999,1.70119397,0.745330017,0.973400024,0.595947021,0.940172974,0.266741272,-0.687702087,4.747390625,2.430540039,-1.274828979,-0.410090027,-0.088529999
00:00.1,0,0,0,0,0,0,0,0,0,-0.454335022,-0.221743973,1.05694397,0.405094727,0.592619873,0.971213989,0.970039978,2.113662842,2.306350098,0.394309967,0.259912994,1.647556396,1.855081665,0,0,0,-0.330380524,-0.180621994,0.223434006,1.194699951,1.704586914,0.745130005,0.973099976,0.59584906,0.940456177,0.251339996,-0.68777478,4.749458984,2.42790332,-1.27574939,-0.411560028,-0.090059998
00:00.1,0,0,0,0,0,0,0,0,0,-0.455617004,-0.230761978,1.064846069,0.408874084,0.592394287,0.969496033,0.97177002,2.110335205,2.299929932,0.394700012,0.260763,1.652174805,1.855696533,0,0,0,-0.301435272,-0.165059982,0.224022003,1.191999878,1.710141113,0.745899963,0.9735,0.596272034,0.886593018,0.268763092,-0.688149414,4.745400391,2.415417969,-1.280619995,-0.411160004,-0.088669998
00:00.1,0,0,0,0,0,0,0,0,0,-0.457233032,-0.220373047,1.066764038,0.399589539,0.59140332,0.968697998,0.972119934,2.11248584,2.298390137,0.396200012,0.26138797,1.649651978,1.857458862,0,0,0,-0.301171631,-0.165356995,0.224421997,1.1925,1.700745972,0.746119995,0.973199951,0.59659198,1.219698975,0.258928284,-0.699439026,4.730928711,2.68837207,-1.280810303,-0.411,-0.088780006
00:00.1,0,0,0,0,0,0,0,0,0,-0.454020996,-0.218445038,1.066031982,0.398060547,0.5921203,0.97137207,0.971320007,2.113488037,2.301170166,0.398069977,0.260480011,1.651634277,1.860342529,0,0,0,-0.299791016,-0.164910019,0.223386993,1.196890015,1.707195068,0.746210083,0.9725,0.596457031,1.275109985,0.263114319,-0.715797668,4.73001416,2.547616699,-1.279242798,-0.414110046,-0.089020004
00:00.1,0,0,0,0,0,0,0,0,0,-0.453320984,-0.226855026,1.066135986,0.396716003,0.592196777,0.973230042,0.97227002,2.110312988,2.297620117,0.397409973,0.26010202,1.653571167,1.860072144,0,0,0,-0.302448669,-0.165102982,0.223222992,1.208719971,1.709004028,0.746170044,0.973300049,0.596268005,1.201317871,0.260854309,-0.716116821,4.725089355,2.549168701,-1.278043945,-0.411660004,-0.089020004
