,LSRCa, LSRCb, LSRCc, L650a, L650b, L650c, LREGa, LREGb, LREGc, L633a, L633b, L633c, L634a, L634b, L634c, L671a, L671b, L671c, L645b, L645c, L646b, L646c, L692a, L692b, L692c, L675a, L675b, L675c, L611c, L652a, L670a, L670b, L670c, L632a, L632b, L632c, L680a, L680b, L680c, L684a, L684c
00:00.0,0,0,0,0,0,0,0,0,0,1672.75,8482.682617,2334.850098,4445.265625,3130.395263671875,6666.79834,958.5999755859375,2531.300048828125,3023.5,1760.0999755859375,1994.290039,9958.15332,6005.77832,0,0,0,14926.90332,5343.160156,1308.5,13501.5293,4281.700195,1285.100098,1498.100098,690.3000488,13448.75,10710.71582,17762.33008,15747.75684,9622.745117,14493.96094,1027.4000244140625,550.8900756835938
00:00.0,0,0,0,0,0,0,0,0,0,1677.679931640625,8485.679688,2331.459961,4390.34668,3137.144287109375,6663.052246,957.8000488,2526.100098,3021.400391,1762.9000244140625,1993.8900146484375,9952.051758,5979.818359,0,0,0,15048.08105,5456.590332,1312.899902,13422.90039,4273.909668,1293.5999755859375,1496.9000244140625,688.7999877929688,14526.88965,10697.54102,17762.25781,15764.21191,9634.59375,14478.29004,1026.099853515625,551.9199829101562
00:00.0,0,0,0,0,0,0,0,0,0,1684.3399658203125,8462.5,2332.360107421875,4369.29248,3134.873779296875,6666.346191,957.3999633789062,2527.900146484375,3019.200195,1770.600098,1993.8199462890625,9951.025391,5958.791992,0,0,0,15058.08008,5445.750488,1308.5,13422.04004,4269.439941,1295.5999755859375,1498.2000732421875,688.7999877929688,13342.7207,10708.55469,17763.4668,15768.87988,9633.77832,14493.46289,1026.599853515625,554.1700439453125
00:00.0,0,0,0,0,0,0,0,0,0,1679.919922,8439.100586,2328.899902,4357.288574,3132.953857421875,6602.719727,960.5999755859375,2526.099853515625,3020.499755859375,1766.5999755859375,1990.939941,9989.576172,5973.902344,0,0,0,15169.75977,5497.970215,1309.199951171875,13425.2793,4289.169922,1294.7999267578125,1497,689,13294.30957,10705.4707,17733.37305,16152.4502,9629.861328,14500.6123,1029.199951171875,554.8599853515625
00:00.0,0,0,0,0,0,0,0,0,0,1677.820068359375,8325.720703,2333.139892578125,4343.413086,3134.567383,6593.333984,960.2000122070312,2538.899902,3018.100098,1766.199951171875,1995.260009765625,10003.66602,5953.005859,0,0,0,15162.95996,5500.720215,1309.800048828125,13390.61035,4288.669922,1295.2999267578125,1497.699951171875,689.5,13272.6709,10697.23828,17735.32031,16458.44727,9620.288086,14495.55176,1032.5,551.5499877929688
00:00.0,0,0,0,0,0,0,0,0,0,1676.219970703125,8329.219727,2331.419677734375,4343.401855,3136.214355,6596.275879,957.0999755859375,2602.899902,3018.099853515625,1765.600098,1991.149902,10011.05664,5960.612305,0,0,0,15146.75977,5500.47998,1392.5,13340.32031,4275.72998,1279.5,1498,688.5,13301.53027,10664.56348,17726.83984,15648.04004,9621.138672,14491.03516,1027,553.1300048828125
00:00.0,0,0,0,0,0,0,0,0,0,1685.989990234375,8357.400391,2330.619873046875,4356.255859,3162.198974609375,6602.698242,960.3999633789062,2603.100098,3021,1771.399902,1992.7999267578125,10038.27832,5963.250488,0,0,0,15142.31934,5483.439941,1403.399902,13340.30078,4267.299805,1277,1496.4000244140625,689.5000610351562,13455.29004,10672.23828,17751.60742,15608.1875,9619.743164,14463.0332,1019.300048828125,555.5999755859375
00:00.0,0,0,0,0,0,0,0,0,0,1691.239990234375,8353.040039,2330.680176,4358.291504,3153.203857421875,6592.210449,958.2000122070312,2601,3020.100098,1951,1993.2100830078125,10000.59766,5953.526855,0,0,0,15143.75879,5473.290039,1405.899902,13321.97949,4260.52002,1276.699951171875,1496.9000244140625,689.5,14382.89063,10665.43555,17788.27344,15680.27051,9630.943359,14488.08105,1021.800048828125,556.7999877929688
00:00.0,0,0,0,0,0,0,0,0,0,1681.899902,8330.099609,2328.600098,4371.319824,3152.13916,6549.842773,959.7999877929688,2600.399902,3019.699951171875,2041.2000732421875,1992.97998,9999.361328,5961.350586,0,0,0,15152.98047,5469.900391,1401.0999755859375,13331.24023,4266.780273,1268.4000244140625,1496.9998779296875,688.8999633789062,13338.65918,10685.06348,17764.14063,15654.00098,9636.952148,14854.78418,1029.5999755859375,553.7699584960938
00:00.0,0,0,0,0,0,0,0,0,0,1681.2200927734375,8334.259766,2331.200195,4353.878906,3157.076904296875,6527.083984,960.2000122070312,2602,3018.699951171875,2039.9998779296875,1991.890137,10011.73438,5960.980469,0,0,0,15146.49902,5331.129395,1405.9000244140625,13342.50977,4258.370117,1266.9000244140625,1497.5,689.7000122070312,13262.37012,10699.5,17765.3125,15615.59473,9641.743164,15132.3457,1033.399902,552.9699707
