,LSRCa, LSRCb, LSRCc, L650a, L650b, L650c, LREGa, LREGb, LREGc, L633a, L633b, L633c, L634a, L634b, L634c, L671a, L671b, L671c, L645b, L645c, L646b, L646c, L692a, L692b, L692c, L675a, L675b, L675c, L611c, L652a, L670a, L670b, L670c, L632a, L632b, L632c, L680a, L680b, L680c, L684a, L684c
00:00.0,0,0,0,0,0,0,0,0,0,-455.5909729,-227.9773712,1062.294922,391.49591064453125,857.8915405273438,1137.9366455078125,967.7799682617188,2113.229004,2306.400146484375,423.3299865722656,350.20599365234375,1690.1473388671875,1816.669677734375,0,0,0,-327.5088196,-172.3049774,226.91897583007812,1316.200195,1698.2860107421875,739.3999633789062,972.2000122070312,594.6560059,1019.9349365234375,252.22384643554688,-683.1664429,4702.340332,2419.994873046875,-1550.740112,-412.7300415,-88.58000183
00:00.0,0,0,0,0,0,0,0,0,0,-450.8909912,-228.9029999,1065.5059814453125,401.0849304199219,860.3108520507812,1137.793945,965.4600219726562,2112.375977,2307.640137,423.25,350.6360168457031,1690.432373046875,1804.4573974609375,0,0,0,-344.1784058,-181.6560059,228.1680145263672,1331.209961,1702.079102,741.7499389648438,972.0999755859375,594.4520263671875,983.3459473,246.69418334960938,-680.2863159,4690.77002,2415.14502,-1548.822388,-411.769989,-89.72000885
00:00.0,0,0,0,0,0,0,0,0,0,-454.382019,-231.9640198,1065.788086,404.1992188,858.9846191,1136.313965,966.4699707,2112.612060546875,2300.879883,425.6600036621094,351.2030029296875,1689.3438720703125,1807.2821044921875,0,0,0,-339.3532715,-179.3489685,228.82598876953125,1326.9600830078125,1702.699951171875,740.4300537109375,972.0999755859375,594.0419922,844.0068969726562,257.7611999511719,-694.7067871,4702.692383,2424.751953,-1549.038452,-411.0700073,-89.5
00:00.0,0,0,0,0,0,0,0,0,0,-454.1740112,-233.401001,1066.0640869140625,400.11614990234375,860.5209961,1047.2779541015625,966.2899780273438,2112.230957,2300.440185546875,426.0899963378906,360.12298583984375,1681.580322265625,1808.438477,0,0,0,-140.2824707,-79.72701263,229.83499145507812,1325.189941,1708.046875,740.0399780273438,971.6999512,594.0349731445312,846.7039794921875,244.5479736328125,-702.8972168,4813.255371,2420.808105,-1550.625732,-411.3800049,-89.37999725
00:00.0,0,0,0,0,0,0,0,0,0,-454.5920105,-230.4069977,1064.994141,398.3990478515625,860.3045654296875,1035.2559814453125,969.6500244140625,2108.209961,2298.439941,425.2600098,367.9389953613281,1674.691406,1813.6639404296875,0,0,0,-103.4496155,-60.40703964,227.98001098632812,1264.380126953125,1702.439941,741.3800048828125,972.0999755859375,593.9620361328125,846.1079711914062,250.05233764648438,-701.6472168,4923.918945,2421.233154296875,-1552.674316,-412.0499878,-89.30000305
00:00.0,0,0,0,0,0,0,0,0,0,-455.0869751,-230.4969482,1063.984130859375,403.9584961,858.4825439453125,1033.6080322265625,969.7399902,2113.619873046875,2294.669922,426.09002685546875,368.1950378417969,1680.6419677734375,1812.5474853515625,0,0,0,-102.934021,-59.32198715,224.83901977539062,1198.129883,1700.3580322265625,747.6701049804688,973.0999755859375,594.5439453,861.671875,247.21084594726562,-699.0578003,4727.113281,2423.283935546875,-1549.580322,-410.9599915,-89.72000122
00:00.0,0,0,0,0,0,0,0,0,0,-453.9519653,-226.9259796,1065.736083984375,405.34808349609375,878.9274902,1042.1859130859375,967.4100341796875,2117.63916,2300.75,425.1399841308594,368.20599365234375,1669.195801,1810.710205078125,0,0,0,-100.539978,-60.16902161,222.822998,1198.919922,1709.8809814453125,748.9099731445312,972.2999877929688,594.5999755859375,863.2180176,259.01263427734375,-692.5150757,4738.870117,2426.243652,-1552.5625,-411.6799927,-89.48000336
00:00.0,0,0,0,0,0,0,0,0,0,-455.2449951,-224.3840027,1063.5560302734375,397.4411621,878.2473754882812,1039.332031,969.0400391,2111.869141,2300.650146484375,415.79998779296875,367.2340087890625,1679.350586,1811.777344,0,0,0,-99.0446167,-60.30496979,222.60301208496094,1199.149902,1702.448974609375,748.2999877929688,972,595.7130126953125,870.8288574,251.89657592773438,-679.1177368,4744.912598,2426.061767578125,-1550.886353,-412.3900146,-89.11999512
00:00.0,0,0,0,0,0,0,0,0,0,-455.6730347,-226.0660248,1064.7979736328125,399.09869384765625,877.0593262,979.2540283203125,968.8099975585938,2107.493164,2296.100098,411.8299865722656,367.8639831542969,1683.331298828125,1813.1905517578125,0,0,0,-98.0012207,-60.61898804,222.677002,1197.530029296875,1705.1920166015625,746.3399658203125,972.7999877929688,595.0400391,859.7689208984375,252.52359008789062,-682.7235107,4738.176758,2428.058105,-1408.285034,-412.5299683,-89.25
00:00.0,0,0,0,0,0,0,0,0,0,-455.2340088,-225.0080261,1065.3441162109375,400.0968933105469,877.5471801757812,959.2100219726562,969.0600586,2110.093994140625,2298.590087890625,410.0199890136719,367.0929870605469,1684.6988525390625,1814.945801,0,0,0,-97.39944458,-44.51701355,223.47698974609375,1198.4500732421875,1703.0970458984375,745.9599609,973.7999877929688,595.3859863,856.1630249023438,261.2586669921875,-689.2127686,4738.723633,2434.703857421875,-1270.773804,-413.4200134,-89.51998901
