,LSRCa,LSRCb,LSRCc,L650a,L650b,L650c,LREGa,LREGb,LREGc,L633a,L633b,L633c,L634a,L634b,L634c,L671a,L671b,L671c,L645b,L645c,L646b,L646c,L692a,L692b,L692c,L675a,L675b,L675c,L611c,L652a,L670a,L670b,L670c,L632a,L632b,L632c,L680a,L680b,L680c,L684a,L684c
00:00.0,0,0,0,0,0,0,0,0,0,15.29,6.892,4.916,5.04,4.163,14.096,17.081,7.136,3.125,3.083,1.537,0.458,0.793,0,0,0,3.083,2.131,27.94,14.286,8.947,2.067,1.246,2.29,5.368,2.816,1.49,1.64,5.125,2.809,3.086,2.728
00:00.0,0,0,0,0,0,0,0,0,0,14.901,6.672,5.335,4.76,3.07,14.937,12.786,7.078,2.758,2.032,2.378,0.336,0.836,0,0,0,2.032,1.914,28.26,14.072,8.096,1.933,1.013,1.964,5.453,3.353,1.426,1.589,5,2.556,3.326,2.176
00:00.0,0,0,0,0,0,0,0,0,0,15.772,7.013,4.563,5.04,3.507,14.789,10.209,5.991,3.096,1.597,1.615,0.326,0.803,0,0,0,1.597,2.446,27.62,14.341,8.168,2.166,0.704,1.635,5.311,2.998,1.143,1.5,3.522,4.245,3.025,1.916
00:00.0,0,0,0,0,0,0,0,0,0,15.757,6.452,4.782,4.8,3.143,14.761,10.04,7.03,3.317,1.228,1.536,0.422,0.778,0,0,0,1.228,6.041,27.86,12.743,7.789,1.802,0.639,1.85,5.821,3.595,1.098,1.649,4.053,2.742,3.192,1.966
00:00.0,0,0,0,0,0,0,0,0,0,15.292,6.356,4.482,5,3.147,15.156,10.147,6.043,2.832,1.162,1.773,0.404,0.874,0,0,0,1.162,4.88,27.86,12.444,7.871,1.913,0.733,2.003,5.246,3.615,1.145,1.789,3.014,3.062,3.09,2.168
00:00.0,0,0,0,0,0,0,0,0,0,15.814,6.861,4.963,4.36,3.336,11.145,9.678,6.075,4.433,1.798,1.646,0.35,0.817,0,0,0,1.798,3.656,27.58,14.946,8.591,1.975,2.74,2.163,5.375,2.941,1.086,1.616,3.565,3.15,3.293,1.943
00:00.0,0,0,0,0,0,0,0,0,0,16.044,8.422,4.7,5.24,3.32,9.623,9.327,5.706,4.331,1.05,1.588,0.415,0.854,0,0,0,1.05,2.005,28.82,16.437,7.763,2.05,1.532,2.173,5.902,2.651,1.064,2.174,4.003,3.267,3.955,2.223
00:00.0,0,0,0,0,0,0,0,0,0,15.337,8.201,4.664,4.12,3.572,9.393,9.53,5.809,7.248,1.67,1.715,0.828,1.01,0,0,0,1.67,2.381,27.84,12.832,7.296,2.484,0.6,2.065,5.895,2.996,1.18,2.856,4.58,4.259,3.47,2.946
00:00.0,0,0,0,0,0,0,0,0,0,13.618,9.976,4.246,4.04,3.4,9.564,10.335,5.836,5.184,3.455,1.265,0.485,1.226,0,0,0,3.455,2.542,25.14,9.363,7.171,1.996,0.627,2.047,4.567,3.116,1.112,4.324,3.99,3.78,2.68,4.235
00:00.0,0,0,0,0,0,0,0,0,0,14.196,15.279,5.065,3.96,6.25,8.479,10.192,6.409,4.545,5.837,4.116,0.48,1.04,0,0,0,5.837,2.521,24.5,8.375,6.885,1.742,0.885,1.921,4.179,3.394,1.043,4.427,4.168,3.752,2.46,3.929
00:00.0,0,0,0,0,0,0,0,0,0,15.643,14.595,5.716,4.08,8.057,9.411,8.866,6.458,4.03,5.943,8.294,0.787,1.059,0,0,0,5.943,2.458,24.68,8.328,5.484,1.684,1.384,2.026,4.441,2.86,1.307,4.673,5.134,4.321,2.375,3.292
00:00.0,0,0,0,0,0,0,0,0,0,17.361,14.934,5.006,8.24,5.713,8.892,8.656,6.363,3.601,7.085,8.987,0.991,1.379,0,0,0,7.085,5.329,23.44,10.765,7.465,1.777,4.845,1.782,4.347,2.942,1.17,6.095,4.996,3.453,2.299,4.384
00:00.1,0,0,0,0,0,0,0,0,0,17.223,10.372,4.37,12.4,5.538,8.847,8.507,5.682,3.239,6.07,6.564,0.595,4.147,0,0,0,6.07,7.911,25.04,7.968,9.934,2.183,1.507,1.822,4.257,3.056,1.295,4.774,4.357,5.343,2.341,3.06
