,LSRCa,LSRCb,LSRCc,L650a,L650b,L650c,LREGa,LREGb,LREGc,L633a,L633b,L633c,L634a,L634b,L634c,L671a,L671b,L671c,L645b,L645c,L646b,L646c,L692a,L692b,L692c,L675a,L675b,L675c,L611c,L652a,L670a,L670b,L670c,L632a,L632b,L632c,L680a,L680b,L680c,L684a,L684c
2017-01-01 01:00:00.000,0,0,0,0,0,0,0,0,0,3.832035216,3.337947947,1.942927522,2.29629184,2.016232922,6.422327336,6.750843165,2.820327664,1.027137829,1.11897958,0.448291667,0.195107183,0.161025518,0,0,0,1.493165049,0.621541667,10.14086587,3.580409098,3.536080663,0.941753022,0.49245071,0.905065912,1.764376277,0.821333333,0.634737342,0.333016203,2.482150787,0.819291667,1.014319149,1.24291352
2017-01-01 02:00:00.000,0,0,0,0,0,0,0,0,0,4.897721851,3.039853007,2.43069781,0.966559225,0.437451308,5.903480145,3.72925,1.4372492,0.560035786,0.984142517,1.151717965,0.153086123,0.16975704,0,0,0,0.984142517,0.694689237,12.87563639,4.625242728,3.688646574,0.701585316,0.490618292,0.645535583,1.590458333,0.477776624,0.468703534,0.226420237,2.278067301,1.164548004,1.314519312,0.310063207
2017-01-01 03:00:00.005,0,0,0,0,0,0,0,0,0,5.184005707,2.045458333,1.803412995,1.47,0.712126723,7.162639608,2.558616581,0.853671265,0.775930741,0.680319151,0.404757153,0.148529988,0.291450082,0,0,0,0.227560175,1.041991637,13.37697654,3.594193397,1.163876964,1.049041679,0.340962762,0.791866641,2.262476526,0.985394947,0.375685932,0.304587991,1.604670607,1.808362427,0.431039155,0.927961153
2017-01-01 04:00:00.010,0,0,0,0,0,0,0,0,0,7.179101293,3.12484622,1.39475,2.044791437,1.338912393,5.357527597,4.862593933,2.310649259,1.511269848,0.403624081,0.448,0.19226888,0.282376294,0,0,0,0.358166667,2.192590218,3.969834994,4.188421552,2.560120495,0.767648785,0.309481825,0.731166785,1.697791667,0.90099193,0.531785671,0.702471058,0.822996752,1.249292108,1.049159664,0.837512493
2017-01-01 05:00:00.015,0,0,0,0,0,0,0,0,0,5.026237336,1.853833333,1.473162159,0.712461413,1.034368879,2.159613035,4.623109781,2.75327214,0.575062127,0.459251786,0.807802665,0.057566882,0.345426903,0,0,0,0.291224651,1.223043287,5.657214285,1.773173965,2.587072592,0.694326285,0.240925449,0.970097176,1.724276816,0.734057058,0.452532956,0.363271944,0.990653893,1.395088415,0.90125,0.786878926
2017-01-01 06:00:00.020,0,0,0,0,0,0,0,0,0,4.612416667,1.719528687,1.96150311,1.857352222,0.677403692,4.045094849,1.379040311,1.771875,1.292958333,0.819193002,0.234542297,0.127033037,0.268534914,0,0,0,0.652586859,1.557449478,5.60035786,4.912512636,2.823725148,0.494981658,0.900594448,0.785064169,2.12433593,1.162357576,0.525973806,0.230267529,1.624261986,0.639634781,0.960458333,0.885256953
2017-01-01 07:00:00.025,0,0,0,0,0,0,0,0,0,5.273407783,4.078960767,1.370833333,2.070980516,1.091231229,1.954033491,3.686266273,0.813060965,1.263208333,0.50853821,0.226277745,0.121041667,0.121688409,0,0,0,0.478394133,0.913504988,5.852150599,3.337675205,2.264208333,0.51377843,0.741981465,0.544605136,1.479180631,1.129321271,0.310333333,0.859219779,1.003246368,1.185762662,0.563556978,1.012828722
2017-01-01 08:00:00.030,0,0,0,0,0,0,0,0,0,4.473291667,3.971925582,1.168908584,1.032569332,0.508982434,2.354107704,4.341996276,2.813427107,3.510366616,0.808817915,0.730586941,0.168132571,0.331970946,0,0,0,0.548902456,0.483482671,9.150565488,1.828460971,3.533614077,0.35395083,0.25559893,0.879686316,2.855078808,1.365017927,0.344166667,0.579935535,1.335833333,1.067406016,0.704613552,0.598210814
2017-01-01 09:00:00.035,0,0,0,0,0,0,0,0,0,5.801243707,3.278952633,0.605022232,1.327883785,1.646695156,1.94205303,4.402691564,1.185050343,2.048847899,0.701567672,0.317038885,0.159411791,0.558582102,0,0,0,1.673332872,1.158169416,3.582255985,3.398315215,3.267204123,0.909404467,0.267100882,0.415661078,1.804993896,1.327410441,0.365496725,1.708954151,0.568544208,1.493951593,0.880873402,2.051104114
2017-01-01 10:00:00.040,0,0,0,0,0,0,0,0,0,6.467888682,6.508826744,1.269408657,1.301589057,3.027013155,4.106567127,1.452281344,2.10653643,1.936161892,2.486551588,1.031566838,0.218694461,0.341831469,0,0,0,0.831727454,0.511910883,10.4369563,2.442708333,2.262990064,0.248221556,0.179706915,0.631402166,0.595475249,1.115553853,0.505147955,2.144093958,2.018654533,1.361794156,0.350531015,0.559852178
2017-01-01 11:00:00.045,0,0,0,0,0,0,0,0,0,5.67765085,4.256875,1.160683304,1.858902918,3.902183199,4.557955329,3.217928303,1.883583333,1.324596944,2.348823894,1.181830992,0.258674391,0.418543581,0,0,0,1.953369637,0.616032869,8.957643865,1.691072526,1.5995,0.717380996,0.454898802,0.590916667,1.755195509,1.303054496,0.327565077,1.990689664,1.286701687,1.568313579,0.938660062,0.825052971
2017-01-01 12:00:00.050,0,0,0,0,0,0,0,0,0,7.39575503,7.232866314,1.978497798,2.403333333,2.433727809,2.228545268,4.192292139,2.710626649,0.731214237,3.228021366,2.621208333,0.325725948,0.196496858,0,0,0,3.018197361,2.580952497,5.874617755,3.139791667,3.180076683,0.644964876,1.21427146,0.863061991,0.882695998,1.162752801,0.462413588,2.951943229,0.711891444,1.364712924,0.834425577,1.86757618
2017-01-01 13:00:00.055,0,0,0,0,0,0,0,0,0,4.316490682,1.477929955,0.622691275,6.0055941,2.359178121,2.580375,1.212181848,0.80964115,1.064607817,0.864928156,1.9145,0.235159047,1.505160012,0,0,0,1.770416667,2.600219956,9.896441242,1.996969039,2.897416667,1.057275155,0.377689802,0.36997288,1.813474406,1.301850549,0.51181675,0.969402046,1.432076646,2.276108469,0.997261824,1.209389385
2017-01-01 14:00:00.060,0,0,0,0,0,0,0,0,0,2.255795326,3.701680059,0.634660627,5.558484215,4.12922479,4.647712908,2.612381268,4.338073093,0.453552936,1.676249244,3.065274602,0.505275327,0.576633697,0,0,0,3.761089114,0.575671303,11.53655254,2.661842323,4.37875615,0.765101834,0.641553314,0.465207392,1.563232258,0.974077244,0.553537909,2.4129018,0.773653497,1.659051463,0.962768805,1.627906893
2017-01-01 15:00:00.065,0,0,0,0,0,0,0,0,0,2.139521624,2.85034856,0.910921152,0.779745257,1.296964756,3.893381108,2.50687367,1.718024945,1.537427562,2.423427394,1.980650418,0.743434431,0.329341473,0,0,0,2.423427394,0.72167048,8.819722282,1.402120052,3.946979406,0.711385007,0.198206765,1.286940611,1.35275,2.098041214,1.502851491,2.085156564,0.54432052,1.466681048,1.06659111,1.499423898
